Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
237,Portland St.,BSky,19-Dec,-5.58,103.1,108.7,72.5,0.008,0.16,106.3,106.2,5.49
238,Delaware,CAA,17-16,-5.59,102.6,108.2,67.3,0.042,-3.71,103.6,107.3,-0.64
239,Purdue Fort Wayne,Horz,17-15,-5.82,100.9,106.7,69.2,0.023,-4.74,103.9,108.6,-1.33
240,UT Arlington,WAC,21-Nov,-6.1,100,106.1,66,0.011,3.48,106,102.5,4.72
241,SIU Edwardsville,OVC,19-14,-6.19,100.2,106.4,69.3,-0.012,-8.02,102,110,-0.88
242,Alcorn St.,SWAC,18-13,-6.23,102.1,108.4,67.4,0.139,-5.4,99.7,105.1,8.81
243,Idaho St.,BSky,21-Nov,-6.25,102.4,108.7,65.4,-0.084,-2.02,105.3,107.4,-1.66
244,East Tennessee St.,SC,20-Dec,-6.3,101.3,107.6,65.9,-0.111,-4.22,104.2,108.4,-4.55
245,Northern Illinois,MAC,13-19,-6.37,101,107.4,69.3,-0.016,-1.8,105.2,107,3.04
246,UT Rio Grande Valley,WAC,15-17,-6.39,104.1,110.4,72.8,0.07,0.12,105.5,105.4,-4.75
247,Morehead St.,OVC,21-11,-6.57,100.5,107.1,63.4,0.143,-6.9,102.3,109.2,4.84
248,Winthrop,BSth,15-17,-6.62,108.7,115.3,67,0.032,-3.29,103.9,107.1,2.5
249,Canisius,MAAC,20-Oct,-6.66,101.9,108.6,67.8,-0.081,-3.13,103.6,106.7,3.57
250,Maryland Eastern Shore,MEAC,18-13,-6.71,94.4,101.1,69.8,0.084,-5.07,102,107.1,4.63
251,North Alabama,ASun,18-14,-6.84,105.4,112.2,68.7,0.123,-2.5,104.4,106.9,0.05
252,Army,Pat,17-16,-6.93,103.1,110,68.7,-0.043,-8.5,100.1,108.6,-9.03
253,Loyola Chicago,A10,21-Oct,-7,102.3,109.3,66.3,-0.036,-0.14,104.8,105,-4.14
254,Southeastern Louisiana,Slnd,18-14,-7,104.3,111.3,68.8,0.05,-6.77,102.9,109.7,5.96
255,UMBC,AE,18-14,-7.03,105.5,112.5,67.8,0.028,-8.36,100.8,109.2,-8.56
256,Rhode Island,A10,22-Sep,-7.07,97.9,105,67.4,-0.016,-0.67,104.2,104.9,-2.49
257,Southeast Missouri St.,OVC,19-16,-7.2,101,108.2,72.6,0.026,-7.56,101.6,109.1,1.09
