RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ_T,WAB
54,New Mexico,MWC,32,22-11,116,102.2,0.8103,53,50.4,15.7,17.6,28.3,27.3,39.5,29,52.7,50.8,35.9,33.2,71.6,-0.2
55,UAB,CUSA,33,25-9,112.3,99,0.8094,50.8,47.9,17.4,19.5,35.7,28.8,36.6,30.7,49,47,36.5,32.9,70.9,-0.9
56,Missouri,SEC,33,24-9,118.5,104.6,0.8071,55.1,52.3,16,24.3,26.8,37.3,29.5,35.2,55.9,51.7,36.1,35.4,69.3,4
57,Clemson,ACC,33,23-10,110.9,98,0.8063,54.4,47.4,16.3,16.6,23.5,24.5,30.7,30.8,53.6,45.8,36.9,33.2,68,-0.5
58,Mississippi St.,SEC,33,21-12,104.1,92,0.8051,46.9,46.2,19.3,22,35.2,29,34.6,27.6,50.5,46.2,26.6,30.8,63.7,0.8
59,Providence,BE,32,21-11,115.7,102.3,0.8042,51.5,50,16.9,16.9,35.2,26.7,36.8,25.5,50.9,49.6,35.1,33.9,67,1
60,Nevada,MWC,31,22-10,110.2,97.5,0.803,50.5,49,15.2,18.7,22.9,25.1,39.5,31.4,50.3,49.3,33.8,32.5,66,1.4
61,VCU,A10,34,27-7,106.1,94,0.802,52.2,47,19.5,24.1,29,29.8,41.8,30.5,52.3,46.2,34.7,32.3,68.1,1.1
62,Seton Hall,BE,31,17-15,105.9,94.1,0.796,49.4,47.6,20.4,21.3,30.8,30.3,40.5,31,49.2,48.2,33.2,31,66.6,-2.3
63,UCF,Amer,32,18-14,109.5,97.5,0.7919,50.6,48.2,19.4,21.6,33.9,31,29.7,33.4,48.1,49,35.9,31.3,64.4,-3.4
64,Colorado,P12,33,17-16,105.9,94.4,0.789,49,47.7,19.2,19.6,31.3,25.3,30.3,32.2,49.6,47.7,31.9,31.8,69.3,-3.3
65,Villanova,BE,33,17-16,112.7,100.5,0.7883,52,50.8,15.6,17.2,22.6,25.3,30.7,27.5,52.9,51,34,33.7,63.6,-2.4
66,Utah,P12,32,17-15,107.3,95.7,0.7871,48.9,45,18,15.2,31.3,27.4,29.2,24.4,48.4,44.9,33.3,30.2,66.2,-3.3
67,Dayton,A10,34,22-12,110.3,98.5,0.787,53,45,18.8,16.1,30.7,27,35.5,23.9,54.3,45.7,33.8,29.3,62.6,-4.1
68,Sam Houston St.,WAC,28,25-7,105.2,94,0.7854,51,48.4,20,23.2,31,25.1,33.5,39,47.1,46.9,38.5,33.4,64.5,0.4
69,Arizona St.,P12,34,22-12,106.5,95.1,0.7849,47.5,46.4,16.9,20.6,29.6,31.8,30.8,33.4,47.9,43.8,31.4,33.6,68.4,1.3
70,Oral Roberts,Sum,30,30-4,113.5,101.5,0.7833,56.1,48.5,13.2,17.6,24.5,27.4,24.6,22,56.6,46.6,37,34.2,70.5,2
71,Iona,MAAC,34,27-7,110,98.5,0.7814,51.8,45.9,15.3,20.9,32,30.5,29,31.2,50.8,47,36,29.2,68.7,-1.5
72,College of Charleston,CAA,33,31-3,110.3,98.8,0.7801,51.5,47.9,16.7,19.3,35.1,25.5,32.7,24.7,52.9,49.1,33.3,30.3,71.2,1.8
73,Utah Valley,WAC,30,25-8,106.4,95.7,0.7711,51.6,44.1,19.5,16.8,29,29.4,36.8,29.8,52.6,42.5,33,31.6,69.8,0
74,Florida,SEC,32,16-16,106.7,96.1,0.7685,49.8,45.9,15.7,17.6,23.5,30.5,35.1,29.8,50.9,45.4,31.9,31.4,69.5,-2.7
75,Wisconsin,B10,31,17-14,105.6,95.2,0.7682,48.5,50.3,13.5,18.6,22.4,25.4,24.1,28,45.8,51.3,35,32.3,62.9,-0.5
76,BYU,WCC,32,19-15,108.8,98.1,0.7672,51.5,49.5,20.2,18.5,31.8,24.1,32.5,37.8,53.1,48.8,32.7,33.7,69.7,-4.1
